Category,,,,,,,,,
LF_PCLT_DIA_A_VR,$0.00,"$4,000","$6,000","$8,000","$12,000",,,,
,0.00%,2.00%,4.00%,6.00%,8.00%,,,,
ALL_ALL_ABZ_A_HQ,$0.00,$1.00,,,,,,,
,0.00%,5.00%,,,,,,,
HK_ALL_ATW_A_HQ,$0.00,$1.00,,,,,,,
,0.00%,5.00%,,,,,,,
HK_ALL_AHD_A_VR,$0.00,"$6,000","$18,000","$24,000","$32,000","$42,000","$55,000","$75,000","$100,000"
,0.00%,2.00%,3.00%,5.00%,6.00%,7.00%,10.00%,12.00%,13.00%
ALL_ALL_ACM_A_HQ,$0.00,$1.00,,,,,,,
,0.00%,5.00%,,,,,,,
ALL_ALL_ACM_Q_VR,0,25,50,75,100,150,200,,
,0.00%,8.00%,9.00%,10.00%,11.00%,12.00%,13.00%,,
ALL_ALL_ATF_A_HQ,$0.00,$1.00,,,,,,,
,0.00%,5.00%,,,,,,,
HK_ALL_ATL_A_HQ,$0.00,$1.00,,,,,,,
,0.00%,5.00%,,,,,,,
HK_ALL_ATL_Q_VR,0,500,1000,2000,3000,5000,,,
,0.00%,1.00%,2.00%,3.00%,4.00%,6.00%,,,
LF_PCLT_ATL_A_VR,$0,"$2,000","$4,000","$6,000","$8,000","$12,000",,,
,0.00%,2.00%,4.00%,6.00%,8.00%,10.00%,,,
ALL_PCLT_RSS_A_HQ,$0.00,$1.00,,,,,,,
,0.00%,2.00%,,,,,,,
ALL_ALL_RSS_A_HQ,$0.00,"$20,000",,,,,,,
,0.00%,2.00%,,,,,,,
