sold_to
725741
728762
731932
A018455
736501
732485
731722
A020742
A005468
729697
732247
A008712
729257
A018866
736240
731634
732494
731721
732162
A012015
728841
724390
A016753
A012697
A000038
A017632
732317
A022687
A012112
A022171
A013422
A013176
A010646
A029076
A027574
733527
