Address 1,City,Region,Postal Code,Country,lat,lon
P.O. BOX 74 BADILI,PORT MORESBY,,,PG,-9.4785607,147.1788567
14 LAFITTE ROAD,WINGFIELD,SA,5013,AU,-34.843871,138.5683585
KOAST HOUSE 28 HINES RD,O'CONNOR,,6163,AU,-32.0612383,115.7851621
