line_index,full_address,lat,lon
67,"60 VICTORIA STREET, TAREE, NSW 2430, Australia",-31.9108015,152.4658023
68,"WILSON STREET, COLLARENEBRI, NSW 2833, Australia",-29.5429148,148.5755071
69,"34A PLAIN STREET, TAMWORTH, NSW 2340, Australia",-31.0874998,150.9123477
70,"1 / 6 Charles St, NORTH RICHMOND, NSW 2754, Australia",-33.5792826,150.7166131
71,"18 NORFOLK AVENUE, SOUTH NOWRA, NSW 2541, Australia",-34.91099910000001,150.5801772
72,"1A BINNIA STREET, COOLAH, NSW 2843, Australia",-31.82184749999999,149.7244069
73,"3 BLAKEY STREET, COBAR, NSW 2835, Australia",-31.5011972,145.8399232
74,"133 FITZROY STREET, COWRA, NSW 2794, Australia",-33.8360857,148.6964455
75,"7 RICHARD ST, BOURKE, NSW 2840, Australia",-30.0924517,145.9367282
76,"196-198 Sunnyholt Road, KINGS PARK, NSW 2148, Australia",-33.7484226,150.9155549
77,"DUBBO ROAD, DUNEDOO, NSW 2844, Australia",-32.0163115,149.4006204
78,"LOT 2 CUMBERLAND AVE, SOUTH NOWRA, NSW 2541, Australia",-34.9081058,150.5878844
79,"44 TOOGONG STREET, CUDAL, NSW 2864, Australia",-33.286074,148.7446423
80,"130 VICTORIA ROAD, PARRAMATTA, NSW 2150, Australia",-33.808225,151.0172908
81,"130 Sunnyholt Road, BLACKTOWN, NSW 2148, Australia",-33.7545862,150.9146464
82,"LOT 9 BENCUBBIN ROAD, DUBBO, NSW 2830, Australia",-32.3196046,148.7129884
83,"39 Doyle Street, BREWARRINA, NSW 2839, Australia",-29.96168029999999,146.8612866
84,"2/235 Princes Highway, UNANDERRA, NSW 2526, Australia",-34.462343,150.838374
85,"281 DOWLING STREET, DUNGOG, NSW 2420, Australia",-32.3988975,151.7585303
86,"18 KYLIE CRESCENT, BATEMANS BAY, NSW 2536, Australia",-35.7169533,150.1733383
87,"46 ACACIA AVE, PORT MACQUARIE, NSW 2444, Australia",-31.4483595,152.8896568
88,"987 ARMIDALE ROAD, NEMINGHA, NSW 2340, Australia",-31.12430599999999,150.9833993
89,"182 Argyle Street, PICTON, NSW 2571, Australia",-34.171489,150.6104444
90,"3 YALLOURN STREET, FYSHWICK, ACT 2609, Australia",-35.3332375,149.168915
91,"1/11 KAROONDA CLOSE, RATHMINES, NSW 2283, Australia",-33.0384562,151.5669789
92,"47 Ogilvie Street, DENMAN, NSW 2328, Australia",-32.3894859,150.6852881
93,"12-16 FRASER DRIVE, COFFS HARBOUR, NSW 2450, Australia",-30.31409,153.098499
94,"7 TOP OAKEY LANE, PIALLAMORE, NSW 2340, Australia",-31.1488591,151.0490706
95,"56 MEMORIAL AVE, WOY WOY, NSW 2256, Australia",-33.5063687,151.3317173
96,"LOT 311 INDUSTRIAL DRIVE, LEMON TREE PASSAGE, NSW 2319, Australia",-32.7326672,152.032253
97,"BEN BOYD DRV, EDEN, NSW 2551, Australia",-37.0421001,149.8946606
98,"97 CHURCH STREET, GLOUCESTER, NSW 2422, Australia",-32.0087989,151.9578143
99,"Bay 2/9-11 Keona Circuit, COFFS HARBOUR, NSW 2450, Australia",-30.3130524,153.0912964
100,"192 Harbord Road, BROOKVALE, NSW 2100, Australia",-33.7648355,151.279077
101,"133 RUSSELL STREET, EMU PLAINS, NSW 2750, Australia",-33.7437703,150.6539593
102,"62 MAUD STREET, GOULBURN, NSW 2580, Australia",-34.7414287,149.7378223
103,"13 GREAT WESTERN HIGHWAY, BLAXLAND, NSW 2774, Australia",-33.7585669,150.612838
104,"46 SYDNEY RD, MUDGEE, NSW 2850, Australia",-32.6099333,149.6007675
105,"87-89 Bradley Street, GUYRA, NSW 2365, Australia",-30.21728,151.6723
106,"Shed 1, 9 Uki Street, YAMBA NSW, 2464",-29.439304,153.3489426
107,"LOT 4 ALBURY STREET, HARDEN, NSW 2587, Australia",-34.5583045,148.3789771
108,"38 GEORGE STREET, QUIRINDI, NSW 2343, Australia",-31.5112511,150.6793186
109,"379 MOAMA STREET, HAY, NSW 2711, Australia",-34.519702,144.8453984
110,"41 GEDDES ST, WARIALDA, NSW 2402, Australia",-29.5432618,150.574223
111,"1/3 LEIGHTON PLACE, HORNSBY, NSW 2077, Australia",-33.696899,151.111807
112,"394 LANE COVE ROAD, MACQUARIE PARK, NSW 2113, Australia",-33.7854754,151.1273033
113,"2E 128-130 FRANCES, LIDCOMBE, NSW 2141, Australia",-33.8523362,151.0517319
114,"STOCKLANDGREENHIILS, SHOPPINGC, EAST MAITLAND NSW, 2323",-32.7440343,151.5883097
115,"684 Main Road, EDGEWORTH, NSW 2285, Australia",-32.925002,151.6259521
116,"306 Merrylands Road, MERRYLANDS, NSW 2160, Australia",-33.8357267,150.9846042
117,"244-246 PEISLEY STREET, ORANGE, NSW 2800, Australia",-33.2812994,149.1045623
118,"47 Oaks Street, THIRLMERE, NSW 2572, Australia",-34.2033417,150.5679431
119,"2 Spring Street, BONDI JUNCTION, NSW 2022, Australia",-33.8918878,151.2452469
120,"345 Hume Highway, LIVERPOOL, NSW 2170, Australia",-33.9312652,150.9169708
121,"62 Medcalf Street, WARNERS BAY, NSW 2282, Australia",-32.966085,151.6464316
122,"1/212 OLD HOME HWY, MITTAGONG, NSW 2575, Australia",-34.4475214,150.4345085
123,"28 William Street, CONDOBOLIN, NSW 2877, Australia",-33.0893998,147.1466889
124,"306 FROME STREET, MOREE, NSW 2400, Australia",-29.4718674,149.8432213
125,"CNR GORDON AVE & TUDOR STREET, HAMILTON, NSW 2303, Australia",-32.9246488,151.7514634
126,"75 BINNIA STREET, COOLAH, NSW 2843, Australia",-31.8242503,149.7194483
127,"Cnr Ballina & Byron Street, LENNOX HEAD, NSW 2478, Australia",-28.7936492,153.5939091
128,"PO.BOX 82 241-243 VINCENT STRE, CESSNOCK, NSW 2325, Australia",-32.84091009999999,151.3546045
129,"28 PRINCE WILLIAM DRIVE, SEVEN HILLS, NSW 2147, Australia",-33.7780062,150.9596565
130,"131 WOODLARK STREET, LISMORE, NSW 2480, Australia",-28.808702,153.2804734
131,"90 SHARP STREET, COOMA, NSW 2630, Australia",-36.2346297,149.1274041
132,"305 EDMONDSON AVENUE P.O BOX 5, AUSTRAL, NSW 2171, Australia",-33.9282728,150.8133821
133,"1-3 VORE STREET, SILVERWATER, NSW 2128, Australia",-33.8381679,151.0438213
